"frame_no","bodyparts","x_p1","y_p1","c_p1","x_p2","y_p2","c_p2"
13,"RHip",200.011,735.256,0.882414,453.867,717.039,0.862429
13,"RKnee",227.365,848.825,0.93786,458.62,821.596,0.837551
13,"RAnkle",199.942,966.588,0.893504,490.186,921.257,0.894631
13,"LHip",195.632,726.248,0.726246,490.298,717.145,0.852355
13,"LKnee",200.015,844.13,0.849559,485.816,834.928,0.861737
13,"LAnkle",195.598,957.318,0.794929,521.88,952.923,0.862705
13,"REye",236.261,517.457,0.91274,0,0,0
13,"LEye",0,0,0,449.357,494.952,0.935263
13,"REar",204.583,522.226,0.974868,0,0,0
13,"LEar",0,0,0,481.165,508.525,0.881925
13,"LBigToe",249.935,966.524,0.393638,481.223,971.128,0.858357
13,"LSmallToe",240.804,961.894,0.376375,490.504,980.156,0.811885
13,"LHeel",172.999,966.482,0.39645,526.611,961.905,0.900732
13,"RBigToe",245.509,993.61,0.786084,449.5,948.384,0.837079
13,"RSmallToe",236.174,993.959,0.852322,449.643,930.339,0.791992
13,"RHeel",191.038,989.159,0.838451,499.432,925.832,0.567437
14,"Nose",240.932,522.205,0.92302,440.33,513.048,0.862419
14,"Neck",199.922,585.58,0.825229,485.755,563.138,0.910527
14,"RShoulder",195.544,590.19,0.927618,454.262,567.433,0.864798
14,"RElbow",199.936,676.249,0.932725,454.027,644.497,0.786944
14,"RWrist",232.013,744.472,0.994605,422.357,703.541,0.859152
14,"LShoulder",200.095,580.977,0.732039,503.985,563.015,0.874055
14,"LElbow",0,0,0,535.672,640.199,0.839319
14,"LWrist",0,0,0,467.72,667.236,0.876161
14,"MidHip",199.95,730.77,0.803601,472.269,717.128,0.809945
14,"RHip",200.009,735.242,0.877999,453.869,717.1,0.866225
14,"RKnee",231.763,848.755,0.963314,458.638,825.907,0.834985
14,"RAnkle",200.039,962.239,0.893678,485.931,921.259,0.911661
14,"LHip",199.922,730.587,0.729895,490.348,717.2,0.853654
14,"LKnee",200.03,844.078,0.856818,485.874,834.99,0.870174
14,"LAnkle",195.613,957.378,0.799247,521.936,952.905,0.872556
14,"REye",236.236,517.497,0.9232,0,0,0
14,"LEye",0,0,0,449.367,494.945,0.936153
14,"REar",204.504,522.265,0.980684,0,0,0
14,"LEar",0,0,0,481.205,508.53,0.885425
14,"LBigToe",245.426,975.546,0.345759,481.261,971.11,0.862715
14,"LSmallToe",236.506,962.13,0.32871,490.513,980.129,0.807717
14,"LHeel",172.925,966.62,0.420321,526.608,961.898,0.904592
14,"RBigToe",249.919,993.681,0.808823,449.44,948.408,0.857718
14,"RSmallToe",231.977,993.96,0.871519,449.606,930.342,0.811353
14,"RHeel",195.273,984.742,0.825218,494.931,925.879,0.623668
15,"Nose",240.924,522.226,0.933826,440.34,513.014,0.862849
15,"Neck",195.724,585.625,0.829704,485.736,563.129,0.913211
15,"RShoulder",195.439,590.176,0.912932,454.226,567.502,0.860319
15,"RElbow",199.845,671.943,0.930544,454.033,640.166,0.792179
15,"RWrist",232.001,744.356,1.00041,422.401,703.587,0.885736
