frame_no,bodyparts,x_p1,y_p1,c_p1,x_p2,y_p2,c_p2
305,Nose,0,0,0,426.788,526.551,0.948851
306,Nose,227.367,544.721,0.319733,417.831,526.479,0.985541
307,Nose,231.55,544.748,0.301442,417.665,526.448,0.990513
308,Nose,0,0,0,413.325,522.298,0.986445
309,Nose,231.642,544.737,0.473781,413.093,526.464,0.971128
310,Nose,231.717,544.687,0.691384,408.54,526.665,0.933623
311,Nose,231.75,535.676,0.836922,399.624,526.642,0.924451
312,Nose,231.757,531.273,0.776126,395.101,526.734,0.917136
313,Nose,231.758,531.193,0.800274,386.2,531.155,0.913497
314,Nose,231.799,531.15,0.860483,386.194,535.669,0.892475
315,Nose,231.749,526.863,0.844432,385.994,540.291,0.888074
316,Nose,231.742,526.834,0.869087,385.952,549.229,0.893294
317,Nose,231.892,526.736,0.90075,381.688,549.25,0.909174
318,Nose,231.904,526.752,0.911894,381.632,544.691,0.90502
319,Nose,231.933,526.863,0.911423,381.581,531.287,0.929142
320,Nose,232.013,535.611,0.881504,381.474,526.821,0.975416
321,Nose,236.229,535.8,0.88839,381.411,526.591,0.995989
322,Nose,236.286,535.76,0.896274,381.302,526.488,0.990639
323,Nose,236.349,535.778,0.897499,381.289,522.282,0.991227
324,Nose,236.454,540.195,0.894485,377.072,521.992,0.973501
325,Nose,236.475,535.727,0.902995,376.936,521.86,0.953937
326,Nose,236.607,535.62,0.889097,376.816,521.838,0.951699
327,Nose,240.848,531.244,0.877119,376.769,521.931,0.952124
328,Nose,240.969,531.075,0.897162,376.718,521.979,0.951675
329,Nose,240.921,526.838,0.916374,372.488,522.089,0.955362
330,Nose,241.041,526.857,0.897681,372.483,522.172,0.951974
331,Nose,245.373,526.689,0.911471,372.496,522.167,0.957528
332,Nose,245.451,526.601,0.918259,376.685,522.158,0.958591
333,Nose,245.496,526.572,0.91988,376.739,522.098,0.948579
334,Nose,254.412,526.624,0.905618,376.866,522.052,0.957412
335,Nose,259.016,526.698,0.911793,376.958,517.623,0.923332
336,Nose,263.508,526.823,0.919121,377.146,517.571,0.92428
337,Nose,263.574,526.578,0.942743,381.432,517.362,0.899864
338,Nose,267.937,526.775,0.936826,381.77,512.95,0.869254
339,Nose,268.1,526.743,0.955718,386.219,508.514,0.827795
340,Nose,268.247,526.854,0.939458,395.07,499.45,0.81997
341,Nose,268.285,531.082,0.924366,399.669,499.45,0.815674
342,Nose,272.441,526.88,0.917206,408.6,503.918,0.841764
343,Nose,272.614,526.873,0.926966,413.092,508.516,0.856704
344,Nose,272.808,531.063,0.893705,413.345,513.046,0.866078
345,Nose,272.73,531.112,0.875926,417.739,521.851,0.887501
346,Nose,272.844,531.101,0.88508,417.911,517.51,0.858214
347,Nose,277.073,526.849,0.873493,418.015,517.382,0.840943
348,Nose,277.098,526.822,0.909921,422.429,517.417,0.781774
349,Nose,281.684,531.071,0.860215,426.966,517.44,0.77009
350,Nose,286.199,526.863,0.854486,435.904,508.507,0.737312
351,Nose,286.318,531.133,0.83452,440.459,508.494,0.746628
352,Nose,290.753,531.097,0.809646,444.893,503.91,0.717617
353,Nose,295.324,526.868,0.851315,449.389,513.009,0.745259
354,Nose,299.905,531.141,0.832571,449.545,513.082,0.660358
355,Nose,304.146,531.147,0.87944,453.951,508.556,0.640977
356,Nose,304.339,535.634,0.857363,454.181,508.458,0.687651
357,Nose,304.431,535.719,0.867649,458.505,512.905,0.431294
358,Nose,304.43,535.641,0.876382,458.721,512.888,0.56362
359,Nose,304.536,535.679,0.871819,463.127,503.921,0.534257
360,Nose,308.683,535.731,0.877277,467.604,512.929,0.480529
361,Nose,304.606,535.652,0.879374,467.702,504.015,0.539831
362,Nose,308.698,535.639,0.879584,472.226,503.994,0.578406
363,Nose,308.696,535.642,0.884723,476.644,499.517,0.64023
364,Nose,308.68,531.291,0.875952,476.79,503.919,0.649531
365,Nose,308.785,535.684,0.890164,481.172,508.402,0.516343
366,Nose,308.752,535.725,0.888274,481.305,513.021,0.610234
367,Nose,308.777,540.173,0.878427,485.573,517.623,0.526916
368,Nose,308.783,540.23,0.866853,485.711,517.581,0.353404
369,Nose,308.766,540.201,0.871644,485.885,521.985,0.397234
370,Nose,308.721,544.686,0.852545,0,0,0
